Date,ActiveUsers,ShareOfPanel
2016-04-12,31,0.939
2016-04-13,31,0.939
2016-04-14,31,0.939
2016-04-15,33,1.0
2016-04-16,31,0.939
2016-04-17,29,0.879
2016-04-18,31,0.939
2016-04-19,28,0.848
2016-04-20,30,0.909
2016-04-21,28,0.848
2016-04-22,31,0.939
2016-04-23,29,0.879
2016-04-24,30,0.909
2016-04-25,28,0.848
2016-04-26,29,0.879
2016-04-27,29,0.879
2016-04-28,31,0.939
2016-04-29,28,0.848
2016-04-30,28,0.848
2016-05-01,28,0.848
2016-05-02,27,0.818
2016-05-03,28,0.848
2016-05-04,27,0.818
2016-05-05,26,0.788
2016-05-06,28,0.848
2016-05-07,25,0.758
2016-05-08,23,0.697
2016-05-09,24,0.727
2016-05-10,22,0.667
2016-05-11,22,0.667
2016-05-12,17,0.515
