Hour,MeanSteps,MeanIntensity,MeanCalories,ShareOfDailySteps
0,42.2,2.1,71.8,0.0056
1,23.1,1.4,70.2,0.003
2,17.1,1.0,69.2,0.0023
3,6.4,0.4,67.5,0.0008
4,12.7,0.6,68.3,0.0017
5,43.9,5.0,81.7,0.0058
6,178.5,7.8,87.0,0.0235
7,306.0,10.7,94.5,0.0403
8,427.5,14.7,103.3,0.0563
9,433.3,15.4,106.1,0.057
10,481.7,17.6,110.5,0.0632
11,456.9,16.9,109.8,0.0599
12,548.6,19.8,117.2,0.0715
13,537.7,18.8,115.3,0.07
14,540.5,18.9,115.7,0.0704
15,406.3,15.6,106.6,0.0525
16,496.8,17.7,113.3,0.0637
17,550.2,21.7,122.8,0.0705
18,599.2,21.9,123.5,0.0767
19,583.4,21.4,121.5,0.0747
20,353.9,14.3,102.4,0.0453
21,308.1,12.1,96.1,0.0394
22,238.0,9.1,88.3,0.0304
23,122.1,5.0,77.6,0.0156
