Hour,Weekday,Weekend,Difference
0,32.8,68.8,36.0
1,18.7,35.7,17.0
2,12.0,31.5,19.5
3,6.2,7.1,0.9
4,14.4,7.9,-6.5
5,54.6,13.5,-41.1
6,219.5,62.3,-157.2
7,349.2,183.8,-165.4
8,449.4,365.6,-83.8
9,423.6,460.8,37.2
10,461.4,539.2,77.8
11,431.0,530.1,99.1
12,543.7,562.4,18.7
13,501.6,639.0,137.4
14,505.7,638.2,132.5
15,367.4,514.6,147.2
16,519.1,435.4,-83.7
17,567.7,502.0,-65.7
18,640.3,485.7,-154.6
19,602.4,530.8,-71.6
20,363.2,328.3,-34.9
21,309.0,305.7,-3.3
22,238.3,237.1,-1.2
23,123.3,119.1,-4.2
