Id,Days,MeanSteps,MeanCalories,MeanSedentaryMin,MeanLightMin,MeanMVPAMin,MeanVeryActiveMin,Segment
1503960366,30,12520.6,1877.0,828.4,227.3,59.8,40.0,Active (10k+)
1624580081,31,5743.9,1483.4,1257.7,153.5,14.5,8.7,Low active (5-7.5k)
1644430081,30,7283.0,2811.3,1161.9,178.5,30.9,9.6,Low active (5-7.5k)
1844505072,21,3808.7,1713.8,1130.2,170.4,2.1,0.2,Inactive (<5k)
1927972279,17,1670.6,2303.1,1244.4,70.4,3.8,2.4,Inactive (<5k)
2022484408,31,11370.6,2510.0,1112.6,257.5,55.6,36.3,Active (10k+)
2026352035,31,5566.9,1540.6,689.4,256.6,0.4,0.1,Low active (5-7.5k)
2320127002,31,4716.9,1724.2,1220.1,198.2,3.9,1.4,Inactive (<5k)
2347167796,18,9519.7,2043.4,687.2,252.5,34.1,13.5,Somewhat active (7.5-10k)
2873212765,31,7555.8,1917.0,1097.2,308.0,20.2,14.1,Somewhat active (7.5-10k)
3372868164,20,6861.6,1933.1,1077.6,327.9,13.2,9.2,Low active (5-7.5k)
3977333714,30,10984.6,1513.7,707.5,174.8,80.2,18.9,Active (10k+)
4020332650,17,4134.4,2719.9,1070.3,140.3,19.2,9.5,Inactive (<5k)
4057192912,3,5117.3,2039.7,1143.0,137.3,3.0,1.0,Low active (5-7.5k)
4319703577,31,7268.8,2037.7,735.8,228.8,15.9,3.6,Low active (5-7.5k)
4388161847,31,10813.9,3093.9,836.7,229.4,43.5,23.2,Active (10k+)
4445114986,31,4796.5,2186.2,829.9,209.1,8.4,6.6,Inactive (<5k)
4558609924,31,7685.1,2033.3,1093.6,285.0,24.1,10.4,Somewhat active (7.5-10k)
4702921684,30,8857.8,2997.2,744.0,245.4,32.2,5.3,Somewhat active (7.5-10k)
5553957443,31,8612.6,1875.7,668.4,206.2,36.4,23.4,Somewhat active (7.5-10k)
5577150313,28,8897.6,3469.7,705.5,158.5,125.5,93.6,Somewhat active (7.5-10k)
6117666160,23,8578.6,2427.4,656.3,351.0,4.4,1.9,Somewhat active (7.5-10k)
6290855005,24,6826.5,2772.7,1143.0,274.8,6.5,2.0,Low active (5-7.5k)
6775888955,17,3853.6,2285.7,1225.0,61.4,39.5,16.8,Inactive (<5k)
6962181067,31,9794.8,1982.0,662.3,245.8,41.3,22.8,Somewhat active (7.5-10k)
7007744171,24,12267.0,2686.1,1078.7,304.1,51.2,33.6,Active (10k+)
7086361926,30,9684.2,2597.6,830.8,148.6,70.2,44.0,Somewhat active (7.5-10k)
8053475328,31,14763.3,2945.8,1148.0,151.0,94.7,85.2,Active (10k+)
8253242879,18,6842.3,1887.3,1278.9,123.4,36.8,21.7,Low active (5-7.5k)
8378563200,31,8717.7,3436.6,716.1,156.1,68.9,58.7,Somewhat active (7.5-10k)
8583815059,30,7438.5,2823.1,1261.5,142.9,32.9,10.0,Low active (5-7.5k)
8792009665,19,2829.4,2192.5,934.0,140.1,7.6,1.5,Inactive (<5k)
8877689391,31,16040.0,3420.3,1112.9,234.7,76.0,66.1,Active (10k+)
