Id,DaysWithRecord,DaysWorn,SleepNights,MeanSteps,NonWearDays
1503960366,31,30,25,12521.0,1
1624580081,31,31,0,5744.0,0
1644430081,30,30,4,7283.0,0
1844505072,31,21,3,3809.0,10
1927972279,31,17,5,1671.0,14
2022484408,31,31,0,11371.0,0
2026352035,31,31,28,5567.0,0
2320127002,31,31,1,4717.0,0
2347167796,18,18,15,9520.0,0
2873212765,31,31,0,7556.0,0
3372868164,20,20,0,6862.0,0
3977333714,30,30,28,10985.0,0
4020332650,31,17,8,4134.0,14
4057192912,4,3,0,5117.0,1
4319703577,31,31,26,7269.0,0
4388161847,31,31,23,10814.0,0
4445114986,31,31,28,4797.0,0
4558609924,31,31,5,7685.0,0
4702921684,31,30,27,8858.0,1
5553957443,31,31,31,8613.0,0
5577150313,30,28,26,8898.0,2
6117666160,28,23,18,8579.0,5
6290855005,29,24,0,6827.0,5
6775888955,26,17,3,3854.0,9
6962181067,31,31,31,9795.0,0
7007744171,26,24,2,12267.0,2
7086361926,31,30,24,9684.0,1
8053475328,31,31,3,14763.0,0
8253242879,19,18,0,6842.0,1
8378563200,31,31,31,8718.0,0
8583815059,31,30,0,7438.0,1
8792009665,29,19,15,2829.0,10
8877689391,31,31,0,16040.0,0
